Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,9783 South 600 West,Main Warehouse Receiving,Fashion Place,The Shops at South Towne,University Place,City Creek,Station Park,Newgate Mall,Southgate Mall,Grand Teton Mall,Magic Valley Mall,Red Cliffs,Damages,Mountain View Village,Meridian,SanTan Village,Warehouse Sale,Logan
apollo-knit-tank-top-in-grey,Apollo Knit Tank Top in Grey,Size,S,Color,Grey,,,10640727,,,110,1,0,2,0,3,3,2,1,3,4,1,0,2,2,0,0,2
apollo-knit-tank-top-in-grey,Apollo Knit Tank Top in Grey,Size,M,Color,Grey,,,10640728,,,64,0,2,1,0,3,3,2,1,3,2,1,0,0,2,0,0,3
apollo-knit-tank-top-in-grey,Apollo Knit Tank Top in Grey,Size,L,Color,Grey,,,10640729,,,38,-1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
apollo-knit-tank-top-in-grey,Apollo Knit Tank Top in Grey,Size,XL,Color,Grey,,,10640730,,,7,-1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
jaida-contrast-knit-top,Jaida Contrast Knit Top,Size,XS,Color,Ivory,,,10640036,,,7,0,0,0,1,2,0,0,0,0,0,6,0,1,2,0,0,3
jaida-contrast-knit-top,Jaida Contrast Knit Top,Size,S,Color,Ivory,,,10640037,,,10,0,4,0,5,2,0,0,0,0,0,8,0,4,1,0,0,2
jaida-contrast-knit-top,Jaida Contrast Knit Top,Size,M,Color,Ivory,,,10640038,,,8,0,1,0,5,0,0,0,0,0,0,9,0,3,1,0,0,1
millie-reverse-seam-top-in-tan,Millie Reverse Seam Top in Tan,Size,XS,Color,Tan,,,10641374,,,15,-2,4,2,3,2,3,2,2,2,2,2,0,4,4,1,0,1
millie-reverse-seam-top-in-tan,Millie Reverse Seam Top in Tan,Size,S,Color,Tan,,,10641375,,,35,0,3,2,3,1,4,1,2,1,1,2,0,2,2,2,0,2
millie-reverse-seam-top-in-tan,Millie Reverse Seam Top in Tan,Size,M,Color,Tan,,,10641376,,,19,3,4,1,1,1,4,1,0,1,2,1,0,4,3,1,0,2
millie-reverse-seam-top-in-black,Millie Reverse Seam Top in Black,Size,XS,Color,Black,,,10641379,,,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
millie-reverse-seam-top-in-black,Millie Reverse Seam Top in Black,Size,S,Color,Black,,,10641380,,,95,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
millie-reverse-seam-top-in-black,Millie Reverse Seam Top in Black,Size,M,Color,Black,,,10641381,,,110,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
